TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  179.48  118.81   92.65  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
  174.67   56.34 -145.81   0.0003500
TEXTURE AT STRAIN =    0.7000
   2.087   2.607   0.169  <-- length of phase ellipsoid axes
    0.68    1.91   41.67  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
  173.70   55.57 -143.65   0.0003500
